case,role,curve_label,tokens_seen,loss,run_id,run_name,run_state,run_created_at,smoothed_loss
B1,baseline,Native SiLU,2402680832.0,3.3867175579071045,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.529128926145705
B1,baseline,Native SiLU,2405302272.0,3.4642138481140137,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.525380291866821
B1,baseline,Native SiLU,2427715584.0,3.6245157718658447,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.496077197059383
B1,baseline,Native SiLU,2477391872.0,3.570639133453369,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.4309070683907885
B1,baseline,Native SiLU,2481324032.0,3.587082624435425,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.425888446280377
B1,baseline,Native SiLU,2492858368.0,3.502258777618408,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.410570357146754
B1,baseline,Native SiLU,2546204672.0,3.609779119491577,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.3451988514551445
B1,baseline,Native SiLU,2583560192.0,3.458487272262573,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.2969735081335285
B1,baseline,Native SiLU,2589851648.0,3.3514108657836914,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.2885075673005515
B1,baseline,Native SiLU,2629173248.0,3.4596168994903564,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.239333136910174
B1,baseline,Native SiLU,2629959680.0,3.412178039550781,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.238337402106641
B1,baseline,Native SiLU,2639527936.0,3.4336438179016118,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.22640789907783
